# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  111       4.111455272256e-10       1.248300916966e-13      -4.082514566084e-12       4.952960560228e-16       7.520589161206e-12       1.020790990493e-12      -6.477348908761e-15 
  112       4.156119643863e-10       1.264858569477e-13      -4.168110034186e-12       5.044713568444e-16       7.340695284724e-12       1.002549584921e-12      -6.410714646969e-15 
  113       4.200974252389e-10       1.281004521330e-13      -4.252952303489e-12       5.137440538513e-16       7.166193724447e-12       9.847888465894e-13      -6.343479161509e-15 
  114       4.246013549172e-10       1.296722680627e-13      -4.336967878270e-12       5.231149171521e-16       6.997044542376e-12       9.675057138542e-13      -6.275719331132e-15 
  115       4.291230955696e-10       1.311997143108e-13      -4.420082846412e-12       5.325847380949e-16       6.833172323520e-12       9.506935883202e-13      -6.207509822566e-15 
  116       4.336618829462e-10       1.326812204349e-13      -4.502222907617e-12       5.421543295522e-16       6.674465091845e-12       9.343422250513e-13      -6.138922943100e-15 
  117       4.382168429874e-10       1.341152371945e-13      -4.583313401605e-12       5.518245262052e-16       6.520773226231e-12       9.184376227813e-13      -6.070028493177e-15 
  118       4.427869884113e-10       1.355002377706e-13      -4.663279336329e-12       5.615961848284e-16       6.371908376425e-12       9.029619141244e-13      -6.000893618979e-15 
  119       4.473712153020e-10       1.368347189850e-13      -4.742045416173e-12       5.714701845740e-16       6.227642378995e-12       8.878932557859e-13      -5.931582665019e-15 
  120       4.519682996970e-10       1.381172025189e-13      -4.819536070163e-12       5.814474272568e-16       6.087706173285e-12       8.732057187729e-13      -5.862157026730e-15 
  121       4.565768941757e-10       1.393462361323e-13      -4.895675480174e-12       5.915288376384e-16       5.951788717367e-12       8.588691786049e-13      -5.792675003048e-15 
  122       4.611955244470e-10       1.405203948832e-13      -4.970387609133e-12       6.017153637119e-16       5.819535903996e-12       8.448492055244e-13      -5.723191649009e-15 
  123       4.658227633104e-10       1.416383302942e-13      -5.043597178165e-12       6.120079356512e-16       5.690626988340e-12       8.311149649190e-13      -5.653761948581e-15 
  124       4.704577824368e-10       1.426989216512e-13      -5.115232665047e-12       6.224073367118e-16       5.565016122097e-12       8.176641801453e-13      -5.584451059908e-15 
  125       4.750998578420e-10       1.437011444646e-13      -5.185223704984e-12       6.329143179663e-16       5.442716653508e-12       8.045008439279e-13      -5.515324974730e-15 
  126       4.797481961959e-10       1.446440256588e-13      -5.253500207826e-12       6.435296382704e-16       5.323725631598e-12       7.916274187256e-13      -5.446447183521e-15 
  127       4.844019328053e-10       1.455266451681e-13      -5.319992393749e-12       6.542540642229e-16       5.208023331981e-12       7.790447899641e-13      -5.377878554194e-15 
  128       4.890601295978e-10       1.463481375334e-13      -5.384630828917e-12       6.650883701246e-16       5.095572782660e-12       7.667522192706e-13      -5.309677210820e-15 
  129       4.937217731048e-10       1.471076934985e-13      -5.447346461165e-12       6.760333379378e-16       4.986319289831e-12       7.547472977062e-13      -5.241898412332e-15 
  130       4.983857724456e-10       1.478045616066e-13      -5.508070655663e-12       6.870897572458e-16       4.880189963688e-12       7.430258990004e-13      -5.174594431245e-15 
  131       5.030509573102e-10       1.484380497961e-13      -5.566735230593e-12       6.982584252117e-16       4.777093244219e-12       7.315821327842e-13      -5.107814432361e-15 
  132       5.077160759431e-10       1.490075269978e-13      -5.623272492820e-12       7.095401465384e-16       4.676918427018e-12       7.204082978237e-13      -5.041604351487e-15 
