# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  100       3.638095636083e-10       1.045444168604e-13      -3.118293639811e-12       4.038393559195e-16       1.002576044332e-11       1.437356761070e-12      -7.216293067382e-15 
  101       3.680232659862e-10       1.065346262995e-13      -3.207446619524e-12       4.120568788435e-16       9.766727491884e-12       1.408220379764e-12      -7.145163084816e-15 
  102       3.722633679790e-10       1.085037110095e-13      -3.296632068313e-12       4.203648244414e-16       9.516206148799e-12       1.379919850415e-12      -7.076771297064e-15 
  103       3.765296310784e-10       1.104497925834e-13      -3.385781257852e-12       4.287638078712e-16       9.274077914034e-12       1.352448824396e-12      -7.010804600260e-15 
  104       3.808216775796e-10       1.123709809338e-13      -3.474824549788e-12       4.372544689790e-16       9.040151144457e-12       1.325793334325e-12      -6.946901592941e-15 
  105       3.851389851586e-10       1.142653750506e-13      -3.563691419052e-12       4.458374727589e-16       8.814158616686e-12       1.299931532844e-12      -6.884651144809e-15 
  106       3.894808814491e-10       1.161310637593e-13      -3.652310477179e-12       4.545135098121e-16       8.595755089930e-12       1.274833431399e-12      -6.823590965494e-15 
  107       3.938465386193e-10       1.179661264791e-13      -3.740609495616e-12       4.632832968068e-16       8.384514868847e-12       1.250460639018e-12      -6.763206173328e-15 
  108       3.982349679494e-10       1.197686339815e-13      -3.828515429046e-12       4.721475769373e-16       8.179929366386e-12       1.226766101091e-12      -6.702927864103e-15 
  109       4.026450144079e-10       1.215366491478e-13      -3.915954438696e-12       4.811071203834e-16       7.981404666635e-12       1.203693838152e-12      -6.642131679842e-15 
  110       4.070755515136e-10       1.232682755065e-13      -4.002852419467e-12       4.901627064156e-16       7.788395334640e-12       1.181192024140e-12      -6.580265999145e-15 
  111       4.115261058988e-10       1.249618082773e-13      -4.089136607953e-12       4.993150661195e-16       7.600830537900e-12       1.159254683925e-12      -6.517258224749e-15 
  112       4.159963028996e-10       1.266156041662e-13      -4.174734224804e-12       5.085649331672e-16       7.418738151920e-12       1.137884868133e-12      -6.453158055395e-15 
  113       4.204856700011e-10       1.282280365282e-13      -4.259572017253e-12       5.179130617923e-16       7.242112302612e-12       1.117081662058e-12      -6.388012356756e-15 
  114       4.249936333832e-10       1.297974965952e-13      -4.343576287384e-12       5.273602270689e-16       7.070912268181e-12       1.096840055537e-12      -6.321865004123e-15 
  115       4.295195144654e-10       1.313223947037e-13      -4.426672920397e-12       5.369072251911e-16       6.905061381006e-12       1.077150812837e-12      -6.254756725094e-15 
  116       4.340625264529e-10       1.328011615223e-13      -4.508787412877e-12       5.465548737515e-16       6.744445929529e-12       1.058000342530e-12      -6.186724942262e-15 
  117       4.386217708812e-10       1.342322492797e-13      -4.589844901061e-12       5.563040120208e-16       6.588914060135e-12       1.039370567374e-12      -6.117803615904e-15 
  118       4.431962341620e-10       1.356141329926e-13      -4.669770189101e-12       5.661555012265e-16       6.438274679042e-12       1.021238794195e-12      -6.048023086668e-15 
  119       4.477847841283e-10       1.369453116928e-13      -4.748487777334e-12       5.761102248321e-16       6.292296354181e-12       1.003577583764e-12      -5.977409918264e-15 
  120       4.523861665800e-10       1.382243096555e-13      -4.825921890550e-12       5.861690888163e-16       6.150706217084e-12       9.863546206793e-13      -5.905986740148e-15 
  121       4.569990018289e-10       1.394496776268e-13      -4.901996506251e-12       5.963330219516e-16       6.013188864766e-12       9.695325832454e-13      -5.833772090217e-15 
  122       4.616217812446e-10       1.406199940515e-13      -4.976635382930e-12       6.066029760842e-16       5.879385261613e-12       9.530690133534e-13      -5.760780257490e-15 
  123       4.662530471035e-10       1.417339139853e-13      -5.049763054000e-12       6.169798866984e-16       5.748970183929e-12       9.369262709647e-13      -5.687045254826e-15 
  124       4.708919628914e-10       1.427903195779e-13      -5.121307878718e-12       6.274645488892e-16       5.621896966766e-12       9.211029696214e-13      -5.612696190559e-15 
  125       4.755378023132e-10       1.437881892720e-13      -5.191199396663e-12       6.380577276013e-16       5.498178935511e-12       9.056059239011e-13      -5.537890299546e-15 
  126       4.801897698652e-10       1.447265532539e-13      -5.259367428951e-12       6.487601960333e-16       5.377812906400e-12       8.904403380245e-13      -5.462789620914e-15 
  127       4.848469988226e-10       1.456044950557e-13      -5.325742114100e-12       6.595727356043e-16       5.260778706361e-12       8.756097550791e-13      -5.387561030593e-15 
  128       4.895085492272e-10       1.464211531591e-13      -5.390253943893e-12       6.704961359208e-16       5.147038692860e-12       8.611160062432e-13      -5.312376273855e-15 
  129       4.941734058748e-10       1.471757225977e-13      -5.452833799244e-12       6.815311947429e-16       5.036537273746e-12       8.469591600093e-13      -5.237411997857e-15 
  130       4.988404763030e-10       1.478674565600e-13      -5.513412986061e-12       6.926787179514e-16       4.929200427089e-12       8.331374714086e-13      -5.162849784177e-15 
  131       5.035085887787e-10       1.484956679927e-13      -5.571923271112e-12       7.039395195139e-16       4.824935221035e-12       8.196473312343e-13      -5.088876181352e-15 
  132       5.081764902855e-10       1.490597312029e-13      -5.628296917889e-12       7.153144214519e-16       4.723629333640e-12       8.064832152657e-13      -5.015682737422e-15 
  133       5.128428445115e-10       1.495590834616e-13      -5.682466722471e-12       7.268042538068e-16       4.625150572720e-12       7.936376334921e-13      -4.943466032463e-15 
  134       5.175062298368e-10       1.499932266065e-13      -5.734366049390e-12       7.384098546073e-16       4.529346395695e-12       7.811010793362e-13      -4.872427711130e-15 
  135       5.221651373209e-10       1.503617286447e-13      -5.783928867495e-12       7.501320698351e-16       4.436043429430e-12       7.688619788785e-13      -4.802774515197e-15 
  136       5.268179686907e-10       1.506642253556e-13      -5.831089785816e-12       7.619717533925e-16       4.345046990085e-12       7.569066400810e-13      -4.734718316091e-15 
  137       5.314631750959e-10       1.509004489666e-13      -5.875784693837e-12       7.739297402460e-16       4.256182376671e-12       7.452220450046e-13      -4.668423774544e-15 
  138       5.360996938416e-10       1.510703141352e-13      -5.917952681168e-12       7.860067627951e-16       4.169424590738e-12       7.338046600441e-13      -4.603845137908e-15 
  139       5.407265532436e-10       1.511738439449e-13      -5.957534385441e-12       7.982035257465e-16       4.084781192069e-12       7.226524453393e-13      -4.540872537837e-15 
  140       5.453427348061e-10       1.512111453888e-13      -5.994471445064e-12       8.105207319573e-16       4.002251516369e-12       7.117620611556e-13      -4.479382550780e-15 
  141       5.499471721029e-10       1.511824111447e-13      -6.028706538918e-12       8.229590822316e-16       3.921826460252e-12       7.011288351527e-13      -4.419237898103e-15 
  142       5.545387496586e-10       1.510879213498e-13      -6.060183426058e-12       8.355192751170e-16       3.843488266235e-12       6.907467296529e-13      -4.360287146203e-15 
  143       5.591163018294e-10       1.509280453753e-13      -6.088846985415e-12       8.482020067011e-16       3.767210307723e-12       6.806083089107e-13      -4.302364406631e-15 
  144       5.636786116846e-10       1.507032436014e-13      -6.114643255494e-12       8.610079704072e-16       3.692956874001e-12       6.707047063813e-13      -4.245289036206e-15 
  145       5.682244098869e-10       1.504140691917e-13      -6.137519474081e-12       8.739378567915e-16       3.620682955229e-12       6.610255919895e-13      -4.188865337138e-15 
  146       5.727523735742e-10       1.500611698680e-13      -6.157424117934e-12       8.869923533388e-16       3.550334027422e-12       6.515591393986e-13      -4.132882257141e-15 
  147       5.772611252404e-10       1.496452896854e-13      -6.174306942494e-12       9.001721442592e-16       3.481845837451e-12       6.422919932792e-13      -4.077113089555e-15 
  148       5.817492316163e-10       1.491672708066e-13      -6.188119021579e-12       9.134779102845e-16       3.415144188025e-12       6.332092365783e-13      -4.021315173464e-15 
  149       5.862152025508e-10       1.486280552769e-13      -6.198812787087e-12       9.269103284642e-16       3.350144722684e-12       6.242943577879e-13      -3.965229593813e-15 
  150       5.906574898919e-10       1.480286867988e-13      -6.206342068696e-12       9.404700719625e-16       3.286752710792e-12       6.155292182139e-13      -3.908580881525e-15 
  151       5.950744863679e-10       1.473703125068e-13      -6.210662133565e-12       9.541578098539e-16       3.224862832521e-12       6.068940192451e-13      -3.851076713624e-15 
