# Matter power spectrum P(k) at redshift z=0
# for k=1.02324e-05 to 5.25887 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.432927087584e-02       1.852518041632e+04 
       3.448673795984e-02       1.844480032861e+04 
       3.464499930890e-02       1.836444461128e+04 
       3.480407872234e-02       1.828417379320e+04 
       3.496400091291e-02       1.820393340017e+04 
       3.512479155220e-02       1.812369678666e+04 
       3.528647731892e-02       1.804359195707e+04 
       3.544908595031e-02       1.796343711908e+04 
       3.561264629668e-02       1.788340126165e+04 
       3.577718837972e-02       1.780340755716e+04 
       3.594274345443e-02       1.772346279702e+04 
       3.610934407532e-02       1.764355782219e+04 
       3.627702416704e-02       1.756369327659e+04 
       3.644581909980e-02       1.748388446453e+04 
       3.661576577006e-02       1.740412373404e+04 
       3.678690268690e-02       1.732446177490e+04 
       3.695927006450e-02       1.724475438343e+04 
       3.713290992133e-02       1.716511495805e+04 
       3.730786618658e-02       1.708553690664e+04 
       3.748418481451e-02       1.700600486727e+04 
       3.766191390741e-02       1.692650049935e+04 
       3.784110384794e-02       1.684703466441e+04 
       3.802180744178e-02       1.676757087653e+04 
       3.820408007144e-02       1.668824888033e+04 
       3.838797986246e-02       1.660885399404e+04 
       3.857356786298e-02       1.652948044538e+04 
       3.876090823822e-02       1.645019185799e+04 
       3.895006848121e-02       1.637089374058e+04 
       3.914111964139e-02       1.629157058946e+04 
       3.933413657307e-02       1.621232100122e+04 
       3.952919820571e-02       1.613298281919e+04 
       3.972638783830e-02       1.605372975391e+04 
       3.992579346060e-02       1.597440252474e+04 
       4.012750810402e-02       1.589508782293e+04 
       4.033163022558e-02       1.581571034211e+04 
       4.053826412867e-02       1.573634541444e+04 
       4.074752042479e-02       1.565694876459e+04 
       4.095951654126e-02       1.557746241345e+04 
       4.117437728035e-02       1.549791800253e+04 
       4.139223543601e-02       1.541827229635e+04 
       4.161323247554e-02       1.533860740261e+04 
       4.183751929447e-02       1.525883182597e+04 
       4.206525705390e-02       1.517895096339e+04 
       4.229661811152e-02       1.509892742437e+04 
       4.253178705872e-02       1.501877147503e+04 
       4.277096187843e-02       1.493849844943e+04 
       4.301435524087e-02       1.485800845651e+04 
       4.326219595668e-02       1.477736642557e+04 
       4.351473061083e-02       1.469651504653e+04 
       4.377222540426e-02       1.461547012704e+04 
       4.403496823526e-02       1.453416953381e+04 
       4.430327105800e-02       1.445262117102e+04 
       4.457747256301e-02       1.437073854392e+04 
       4.485794123234e-02       1.428850871107e+04 
       4.514507883258e-02       1.420595387511e+04 
       4.543932442127e-02       1.412304052393e+04 
       4.574115895752e-02       1.403971171190e+04 
       4.605111062629e-02       1.395589160127e+04 
       4.636976100916e-02       1.387155318578e+04 
       4.669775226276e-02       1.378673060508e+04 
       4.703579550235e-02       1.370132087758e+04 
       4.738468063231e-02       1.361519859238e+04 
       4.774528792177e-02       1.352838559351e+04 
       4.811860169451e-02       1.344079732418e+04 
       4.850572659181e-02       1.335232832118e+04 
       4.890790698090e-02       1.326291049090e+04 
       4.932655022641e-02       1.317242421664e+04 
       4.976325472708e-02       1.308083796935e+04 
       5.021984385498e-02       1.298787865403e+04 
       5.069840723427e-02       1.289346013527e+04 
       5.120135117531e-02       1.279746476369e+04 
       5.173146055491e-02       1.269954537232e+04 
       5.229197501780e-02       1.259960878913e+04 
       5.288668307092e-02       1.249721607081e+04 
       5.352003842339e-02       1.239200794481e+04 
       5.419730369799e-02       1.228358038911e+04 
       5.492472717021e-02       1.217127354319e+04 
       5.570975795937e-02       1.205447459851e+04 
       5.656130303299e-02       1.193200477483e+04 
       5.749002339563e-02       1.180280890698e+04 
       5.850865303958e-02       1.166514138130e+04 
       5.963229598961e-02       1.151685609632e+04 
       6.087860410565e-02       1.135497257547e+04 
       6.226765032753e-02       1.117556310001e+04 
       6.382118897725e-02       1.097353506387e+04 
       6.556088139523e-02       1.074246011641e+04 
       6.750510953125e-02       1.047492868929e+04 
       6.966447573452e-02       1.016343541385e+04 
       7.203717579581e-02       9.802359349202e+03 
       7.460661677670e-02       9.390496471914e+03 
       7.734344480922e-02       8.933273918870e+03 
       8.021168814611e-02       8.443147087741e+03 
