# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   72       2.577018737906e-10       4.780423349560e-14      -8.917023785063e-13       2.054455422800e-16       2.243630624824e-11       2.438827735391e-12      -9.937761158335e-15 
   73       2.610465394462e-10       4.963680168510e-14      -9.553634259083e-13       2.112101994449e-16       2.170337886295e-11       2.371919901757e-12      -9.761376117235e-15 
   74       2.644227042451e-10       5.149622360790e-14      -1.020640109405e-12       2.170546802092e-16       2.100096164160e-11       2.308040171813e-12      -9.555018126545e-15 
   75       2.678312315737e-10       5.338126421535e-14      -1.087484062096e-12       2.229791182999e-16       2.032861645542e-11       2.247081660233e-12      -9.327877500200e-15 
   76       2.712726050013e-10       5.529062010719e-14      -1.155842694382e-12       2.289836647232e-16       1.968539457523e-11       2.188880552461e-12      -9.090236596119e-15 
   77       2.747469056576e-10       5.722291863378e-14      -1.225659115854e-12       2.350684884407e-16       1.906981302742e-11       2.133213557905e-12      -8.853506376220e-15 
   78       2.782537896098e-10       5.917671699836e-14      -1.296872057176e-12       2.412337770462e-16       1.847983094979e-11       2.079795363127e-12      -8.630262966447e-15 
   79       2.817924652399e-10       6.115050135923e-14      -1.369415791974e-12       2.474797374423e-16       1.791282594761e-11       2.028276085040e-12      -8.434284216783e-15 
   80       2.853621122994e-10       6.314271964448e-14      -1.443225934188e-12       2.538065899260e-16       1.736624525571e-11       1.978326513531e-12      -8.277367625978e-15 
   81       2.889632726542e-10       6.515188853415e-14      -1.518258161441e-12       2.602145477741e-16       1.683974147441e-11       1.929916490841e-12      -8.159067268626e-15 
   82       2.925966608971e-10       6.717650350532e-14      -1.594472615910e-12       2.667038353314e-16       1.633336631234e-11       1.883080454342e-12      -8.075232916752e-15 
