# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  117       4.382933246024e-10       1.338233833376e-13      -4.595699287369e-12       0.000000000000e+00       6.588914060135e-12       1.039370567374e-12      -6.117803615904e-15 
  118       4.428698443977e-10       1.351988970836e-13      -4.675917927058e-12       0.000000000000e+00       6.438274679042e-12       1.021238794195e-12      -6.048023086668e-15 
  119       4.474606961178e-10       1.365235294996e-13      -4.754935844218e-12       0.000000000000e+00       6.292296354181e-12       1.003577583764e-12      -5.977409918264e-15 
  120       4.520646265266e-10       1.377957944566e-13      -4.832677188711e-12       0.000000000000e+00       6.150706217084e-12       9.863546206793e-13      -5.905986740148e-15 
  121       4.566802566630e-10       1.390142319335e-13      -4.909065853680e-12       0.000000000000e+00       6.013188864766e-12       9.695325832454e-13      -5.833772090217e-15 
  122       4.613060783811e-10       1.401774092395e-13      -4.984025503630e-12       0.000000000000e+00       5.879385261613e-12       9.530690133534e-13      -5.760780257490e-15 
  123       4.659406350051e-10       1.412839699201e-13      -5.057480564488e-12       0.000000000000e+00       5.748970183929e-12       9.369262709647e-13      -5.687045254826e-15 
  124       4.705830941650e-10       1.423327842330e-13      -5.129359262775e-12       0.000000000000e+00       5.621896966766e-12       9.211029696214e-13      -5.612696190559e-15 
  125       4.752327345550e-10       1.433228183434e-13      -5.199590990126e-12       0.000000000000e+00       5.498178935511e-12       9.056059239011e-13      -5.537890299546e-15 
  126       4.798887657218e-10       1.442530897713e-13      -5.268105407858e-12       0.000000000000e+00       5.377812906400e-12       8.904403380245e-13      -5.462789620914e-15 
  127       4.845503260531e-10       1.451226689883e-13      -5.334832482617e-12       0.000000000000e+00       5.260778706361e-12       8.756097550791e-13      -5.387561030593e-15 
  128       4.892164807665e-10       1.459306810163e-13      -5.399702522025e-12       0.000000000000e+00       5.147038692860e-12       8.611160062432e-13      -5.312376273855e-15 
  129       4.938862198973e-10       1.466763070246e-13      -5.462646210334e-12       0.000000000000e+00       5.036537273746e-12       8.469591600093e-13      -5.237411997857e-15 
  130       4.985584562876e-10       1.473587859280e-13      -5.523594644065e-12       0.000000000000e+00       4.929200427089e-12       8.331374714086e-13      -5.162849784177e-15 
  131       5.032320235745e-10       1.479774159847e-13      -5.582479367661e-12       0.000000000000e+00       4.824935221035e-12       8.196473312343e-13      -5.088876181352e-15 
  132       5.079056741785e-10       1.485315563937e-13      -5.639232409135e-12       0.000000000000e+00       4.723629333640e-12       8.064832152657e-13      -5.015682737422e-15 
  133       5.125780772922e-10       1.490206288931e-13      -5.693786315716e-12       0.000000000000e+00       4.625150572720e-12       7.936376334921e-13      -4.943466032463e-15 
  134       5.172478168688e-10       1.494441193573e-13      -5.746074189496e-12       0.000000000000e+00       4.529346395695e-12       7.811010793362e-13      -4.872427711130e-15 
  135       5.219133896104e-10       1.498015793955e-13      -5.796029723082e-12       0.000000000000e+00       4.436043429430e-12       7.688619788785e-13      -4.802774515197e-15 
  136       5.265732029567e-10       1.500926279487e-13      -5.843587235237e-12       0.000000000000e+00       4.345046990085e-12       7.569066400810e-13      -4.734718316091e-15 
  137       5.312257129149e-10       1.503169805665e-13      -5.888682318139e-12       0.000000000000e+00       4.256182376671e-12       7.452220450046e-13      -4.668423774544e-15 
  138       5.358698579056e-10       1.504745372715e-13      -5.931253779252e-12       0.000000000000e+00       4.169424590738e-12       7.338046600441e-13      -4.603845137908e-15 
  139       5.405046662064e-10       1.505653068586e-13      -5.971241968925e-12       0.000000000000e+00       4.084781192069e-12       7.226524453393e-13      -4.540872537837e-15 
  140       5.451291190244e-10       1.505893817897e-13      -6.008588225973e-12       0.000000000000e+00       4.002251516369e-12       7.117620611556e-13      -4.479382550780e-15 
  141       5.497421493724e-10       1.505469399666e-13      -6.043234917212e-12       0.000000000000e+00       3.921826460252e-12       7.011288351527e-13      -4.419237898103e-15 
  142       5.543426409456e-10       1.504382465052e-13      -6.075125476987e-12       0.000000000000e+00       3.843488266235e-12       6.907467296529e-13      -4.360287146203e-15 
  143       5.589294269967e-10       1.502636555085e-13      -6.104204446702e-12       0.000000000000e+00       3.767210307723e-12       6.806083089107e-13      -4.302364406631e-15 
  144       5.635012892128e-10       1.500236118400e-13      -6.130417514350e-12       0.000000000000e+00       3.692956874001e-12       6.707047063813e-13      -4.245289036206e-15 
  145       5.680569565911e-10       1.497186528975e-13      -6.153711554043e-12       0.000000000000e+00       3.620682955229e-12       6.610255919895e-13      -4.188865337138e-15 
  146       5.725951043153e-10       1.493494103865e-13      -6.174034665540e-12       0.000000000000e+00       3.550334027422e-12       6.515591393986e-13      -4.132882257141e-15 
  147       5.771143526311e-10       1.489166120935e-13      -6.191336213780e-12       0.000000000000e+00       3.481845837451e-12       6.422919932792e-13      -4.077113089555e-15 
  148       5.816132657231e-10       1.484210836596e-13      -6.205566868408e-12       0.000000000000e+00       3.415144188025e-12       6.332092365783e-13      -4.021315173464e-15 
  149       5.860903505901e-10       1.478637503539e-13      -6.216678643306e-12       0.000000000000e+00       3.350144722684e-12       6.242943577879e-13      -3.965229593813e-15 
  150       5.905440559217e-10       1.472456388469e-13      -6.224624936126e-12       0.000000000000e+00       3.286752710792e-12       6.155292182139e-13      -3.908580881525e-15 
  151       5.949727709745e-10       1.465678789843e-13      -6.229360567815e-12       0.000000000000e+00       3.224862832521e-12       6.068940192451e-13      -3.851076713624e-15 
  152       5.993748244475e-10       1.458317055601e-13      -6.230841822147e-12       0.000000000000e+00       3.164358963846e-12       5.983672696221e-13      -3.792407613349e-15 
  153       6.037486066650e-10       1.450384442594e-13      -6.229026724070e-12       0.000000000000e+00       3.105138177015e-12       5.899307546013e-13      -3.732322842295e-15 
  154       6.080929512652e-10       1.441894642845e-13      -6.223875820661e-12       0.000000000000e+00       3.047185704317e-12       5.815850319838e-13      -3.670866644386e-15 
  155       6.124067870065e-10       1.432862246869e-13      -6.215351548455e-12       0.000000000000e+00       2.990506563725e-12       5.733353205413e-13      -3.608163488188e-15 
