# Matter power spectrum P(k) at redshift z=0
# for k=1.0298e-05 to 5.18431 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.508511402522e-01       3.177801126936e+03 
       1.540213244247e-01       3.030026536454e+03 
       1.571915155076e-01       2.897001238387e+03 
       1.603617126778e-01       2.780256341912e+03 
       1.635319153288e-01       2.680019219076e+03 
       1.667021229932e-01       2.595359682703e+03 
       1.698723352957e-01       2.524369254650e+03 
       1.730425519227e-01       2.464450564108e+03 
       1.762127726048e-01       2.412589428426e+03 
       1.793829971042e-01       2.365647351202e+03 
       1.825532252077e-01       2.321202166487e+03 
       1.857234567216e-01       2.276137515029e+03 
       1.888936914680e-01       2.228254427882e+03 
       1.920639292827e-01       2.176217544310e+03 
       1.952341700133e-01       2.119535577812e+03 
       1.984044135178e-01       2.058521023340e+03 
       2.015746596639e-01       1.994138120104e+03 
       2.047449083273e-01       1.927839039228e+03 
       2.079151593918e-01       1.861242091123e+03 
       2.110854127484e-01       1.795994775611e+03 
       2.142556682945e-01       1.733537860346e+03 
       2.174259259334e-01       1.675016875536e+03 
       2.205961855744e-01       1.621246339733e+03 
       2.237664471316e-01       1.572668126288e+03 
       2.269367105243e-01       1.529379490844e+03 
       2.301069756761e-01       1.491139127135e+03 
       2.332772425146e-01       1.457411703526e+03 
       2.364475109718e-01       1.427419357222e+03 
       2.396177809827e-01       1.400232341169e+03 
       2.427880524863e-01       1.374854744432e+03 
       2.459583254244e-01       1.350332082190e+03 
       2.491285997419e-01       1.325836756798e+03 
       2.522988753864e-01       1.300743000695e+03 
       2.554691523084e-01       1.274639488860e+03 
       2.586394304604e-01       1.247344095660e+03 
       2.618097097977e-01       1.218888754894e+03 
       2.649799902772e-01       1.189488280427e+03 
       2.681502718584e-01       1.159502264210e+03 
       2.713205545024e-01       1.129389705128e+03 
       2.744908381721e-01       1.099660949685e+03 
       2.776611228322e-01       1.070818052368e+03 
       2.808314084490e-01       1.043300949340e+03 
       2.840016949902e-01       1.017425885381e+03 
       2.871719824251e-01       9.933809265961e+02 
       2.903422707243e-01       9.712176520174e+02 
       2.935125598595e-01       9.508446167168e+02 
       2.966828498039e-01       9.320913983451e+02 
       2.998531405316e-01       9.147119526832e+02 
       3.030234320179e-01       8.984226707975e+02 
       3.061937242392e-01       8.829340321548e+02 
       3.093640171727e-01       8.679489231508e+02 
       3.125343107967e-01       8.532021195480e+02 
       3.157046050902e-01       8.384693233824e+02 
       3.188749000332e-01       8.235969316381e+02 
       3.220451956064e-01       8.084883637507e+02 
       3.252154917912e-01       7.931415449567e+02 
       3.283857885700e-01       7.776020122530e+02 
       3.315560859255e-01       7.619875160714e+02 
       3.347263838413e-01       7.464341145894e+02 
       3.378966823015e-01       7.310879242710e+02 
       3.410669812910e-01       7.160776115735e+02 
       3.442372807950e-01       7.015395148361e+02 
       3.474075807993e-01       6.875666577358e+02 
       3.505778812903e-01       6.742267769016e+02 
       3.537481822550e-01       6.615658611015e+02 
       3.569184836805e-01       6.495835565679e+02 
       3.600887855548e-01       6.382433024713e+02 
       3.632590878659e-01       6.274785811832e+02 
       3.664293906025e-01       6.171955901401e+02 
       3.695996937536e-01       6.072954540884e+02 
       3.727699973086e-01       5.976702916343e+02 
       3.759403012572e-01       5.882395066863e+02 
       3.791106055895e-01       5.789341691574e+02 
       3.822809102959e-01       5.697013506795e+02 
       3.854512153672e-01       5.605167658895e+02 
       3.886215207943e-01       5.513639969341e+02 
       3.917918265687e-01       5.422452887601e+02 
       3.949621326819e-01       5.331772840174e+02 
       3.981324391257e-01       5.241875168823e+02 
       4.013027458924e-01       5.153150469418e+02 
       4.044730529743e-01       5.066036378972e+02 
       4.076433603640e-01       4.980927268228e+02 
       4.108136680543e-01       4.898159919280e+02 
       4.139839760384e-01       4.817920522716e+02 
       4.171542843095e-01       4.740300682937e+02 
       4.203245928611e-01       4.665288758240e+02 
       4.234949016868e-01       4.592798580453e+02 
       4.266652107806e-01       4.522714986074e+02 
       4.298355201364e-01       4.454862487662e+02 
       4.330058297486e-01       4.389075980820e+02 
