# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   81       2.886957151985e-10       6.492351473260e-14      -1.518196800177e-12       0.000000000000e+00       1.683974147441e-11       1.929916490841e-12      -8.159067268626e-15 
   82       2.923253795409e-10       6.694364688027e-14      -1.594467665376e-12       0.000000000000e+00       1.633336631234e-11       1.883080454342e-12      -8.075232916752e-15 
   83       2.959878058646e-10       6.897766253115e-14      -1.671884425655e-12       0.000000000000e+00       1.584691774801e-11       1.837833034206e-12      -8.021047679227e-15 
   84       2.996831730715e-10       7.102395017610e-14      -1.750405226101e-12       0.000000000000e+00       1.537992888217e-11       1.794168132334e-12      -7.991004957428e-15 
   85       3.034113693154e-10       7.308084412088e-14      -1.829987181935e-12       0.000000000000e+00       1.493165679018e-11       1.752058001277e-12      -7.978885400903e-15 
   86       3.071719775525e-10       7.514662420919e-14      -1.910586409138e-12       0.000000000000e+00       1.450107137434e-11       1.711452323160e-12      -7.977733863034e-15 
   87       3.109642610931e-10       7.721951554581e-14      -1.992158055064e-12       0.000000000000e+00       1.408684421625e-11       1.672277288603e-12      -7.979836356696e-15 
   88       3.147871491525e-10       7.929768821963e-14      -2.074656329060e-12       0.000000000000e+00       1.368733742916e-11       1.634434675648e-12      -7.976697009924e-15 
   89       3.186396132786e-10       8.137928949748e-14      -2.158033031112e-12       0.000000000000e+00       1.330099361050e-11       1.597826729574e-12      -7.960819899406e-15 
   90       3.225218958005e-10       8.346254679669e-14      -2.242232806521e-12       0.000000000000e+00       1.292760010260e-11       1.562437282867e-12      -7.931425112066e-15 
   91       3.264344483595e-10       8.554568043050e-14      -2.327197199790e-12       0.000000000000e+00       1.256720343741e-11       1.528261722533e-12      -7.889591061674e-15 
   92       3.303775497144e-10       8.762687278195e-14      -2.412866098330e-12       0.000000000000e+00       1.221972082423e-11       1.495281794924e-12      -7.836533372187e-15 
   93       3.343512971490e-10       8.970426851342e-14      -2.499177740581e-12       0.000000000000e+00       1.188493501103e-11       1.463465071190e-12      -7.773608872772e-15 
   94       3.383555978787e-10       9.177597477615e-14      -2.586068724130e-12       0.000000000000e+00       1.156248914580e-11       1.432764412733e-12      -7.702319592843e-15 
   95       3.423901604579e-10       9.384006141976e-14      -2.673474013821e-12       0.000000000000e+00       1.125188163787e-11       1.403117436660e-12      -7.624316757089e-15 
   96       3.464544861868e-10       9.589456120184e-14      -2.761326949879e-12       0.000000000000e+00       1.095246101932e-11       1.374445981238e-12      -7.541404780505e-15 
   97       3.505478605187e-10       9.793746999745e-14      -2.849559256025e-12       0.000000000000e+00       1.066342080625e-11       1.346655571347e-12      -7.455545263424e-15 
   98       3.546693444666e-10       9.996674700865e-14      -2.938101047587e-12       0.000000000000e+00       1.038379436014e-11       1.319634883931e-12      -7.368860986549e-15 
