# Matter power spectrum P(k) at redshift z=0
# for k=1.04889e-05 to 5.37596 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.233868411705e-01       1.523647607329e+03 
       2.266136736031e-01       1.476771968003e+03 
       2.298405078666e-01       1.434814054391e+03 
       2.330673438845e-01       1.397658723147e+03 
       2.362941815844e-01       1.364901835265e+03 
       2.395210208979e-01       1.335895821712e+03 
       2.427478617602e-01       1.309812731670e+03 
       2.459747041099e-01       1.285738518485e+03 
       2.492015478888e-01       1.262762913514e+03 
       2.524283930420e-01       1.240071194579e+03 
       2.556552395168e-01       1.217004831352e+03 
       2.588820872637e-01       1.193110799470e+03 
       2.621089362354e-01       1.168146474256e+03 
       2.653357863869e-01       1.142078471070e+03 
       2.685626376754e-01       1.115039123875e+03 
       2.717894900602e-01       1.087322461018e+03 
       2.750163435025e-01       1.059332796585e+03 
       2.782431979653e-01       1.031531490349e+03 
       2.814700534133e-01       1.004388632045e+03 
       2.846969098127e-01       9.783424606200e+02 
       2.879237671315e-01       9.537312108732e+02 
       2.911506253389e-01       9.307744358416e+02 
       2.943774844054e-01       9.095614683377e+02 
       2.976043443031e-01       8.900540831502e+02 
       3.008312050050e-01       8.721181172127e+02 
       3.040580664854e-01       8.555441919408e+02 
       3.072849287196e-01       8.400800892950e+02 
       3.105117916840e-01       8.254561483345e+02 
       3.137386553560e-01       8.113951416752e+02 
       3.169655197138e-01       7.976396069236e+02 
       3.201923847366e-01       7.839684282529e+02 
       3.234192504045e-01       7.702074953187e+02 
       3.266461166981e-01       7.562518452747e+02 
       3.298729835990e-01       7.420654647357e+02 
       3.330998510895e-01       7.276814872220e+02 
       3.363267191526e-01       7.131834764617e+02 
       3.395535877719e-01       6.986978562064e+02 
       3.427804569315e-01       6.843514639479e+02 
       3.460073266163e-01       6.702814587228e+02 
       3.492341968116e-01       6.566049663591e+02 
       3.524610675034e-01       6.434240969681e+02 
       3.556879386781e-01       6.308165782594e+02 
       3.589148103226e-01       6.188267251053e+02 
       3.621416824244e-01       6.074686624538e+02 
       3.653685549711e-01       5.967261011807e+02 
       3.685954279511e-01       5.865416853041e+02 
       3.718223013531e-01       5.768410129698e+02 
       3.750491751662e-01       5.675265861187e+02 
       3.782760493796e-01       5.585020753075e+02 
       3.815029239834e-01       5.496823702617e+02 
       3.847297989675e-01       5.410001488190e+02 
       3.879566743225e-01       5.324008229261e+02 
       3.911835500392e-01       5.238529638900e+02 
       3.944104261085e-01       5.153371712288e+02 
       3.976373025220e-01       5.068527820801e+02 
       4.008641792713e-01       4.984067038063e+02 
       4.040910563483e-01       4.900245584022e+02 
       4.073179337451e-01       4.817387377757e+02 
       4.105448114543e-01       4.735868104815e+02 
       4.137716894684e-01       4.656073744236e+02 
       4.169985677803e-01       4.578365137241e+02 
       4.202254463833e-01       4.502961587572e+02 
       4.234523252705e-01       4.429966817336e+02 
       4.266792044356e-01       4.359419148161e+02 
       4.299060838722e-01       4.291220810737e+02 
       4.331329635743e-01       4.225333504009e+02 
       4.363598435359e-01       4.161577407706e+02 
       4.395867237513e-01       4.099783319950e+02 
       4.428136042149e-01       4.039776141147e+02 
       4.460404849214e-01       3.981264341828e+02 
       4.492673658654e-01       3.924038084691e+02 
       4.524942470419e-01       3.867798623284e+02 
       4.557211284460e-01       3.812366832270e+02 
       4.589480100727e-01       3.757610185311e+02 
       4.621748919175e-01       3.703436163293e+02 
       4.654017739757e-01       3.649889163254e+02 
       4.686286562430e-01       3.596973498557e+02 
       4.718555387150e-01       3.544739444720e+02 
       4.750824213876e-01       3.493250822144e+02 
       4.783093042567e-01       3.442592720954e+02 
       4.815361873183e-01       3.392856309551e+02 
       4.847630705686e-01       3.344120182936e+02 
       4.879899540037e-01       3.296488954422e+02 
       4.912168376202e-01       3.250064841930e+02 
       4.944437214143e-01       3.204863838359e+02 
       4.976706053826e-01       3.160878482945e+02 
       5.008974895218e-01       3.118045449586e+02 
       5.041243738286e-01       3.076254529205e+02 
       5.073512582997e-01       3.035411728341e+02 
       5.105781429320e-01       2.995438248374e+02 
       5.138050277225e-01       2.956238824863e+02 
       5.170319126682e-01       2.917738413842e+02 
       5.202587977662e-01       2.879892616360e+02 
       5.234856830137e-01       2.842610672573e+02 
       5.267125684079e-01       2.805862210705e+02 
       5.299394539462e-01       2.769597641663e+02 
       5.331663396259e-01       2.733811174979e+02 
       5.363932254444e-01       2.698509640042e+02 
       5.396201113993e-01       2.663746223902e+02 
       5.428469974881e-01       2.629539634439e+02 
       5.460738837085e-01       2.595947447040e+02 
       5.493007700580e-01       2.562975903820e+02 
       5.525276565346e-01       2.530619765990e+02 
       5.557545431358e-01       2.498885497116e+02 
       5.589814298596e-01       2.467752342953e+02 
       5.622083167038e-01       2.437219401364e+02 
       5.654352036664e-01       2.407284682643e+02 
       5.686620907454e-01       2.377943091421e+02 
       5.960044771339e-01       2.149128242226e+02 
       6.269122293649e-01       1.924322870899e+02 
       6.626576312170e-01       1.704256191633e+02 
       7.053125073526e-01       1.484698424138e+02 
       7.585064613568e-01       1.262876978176e+02 
       8.291681316902e-01       1.033883517490e+02 
       9.316253889903e-01       7.935618724199e+01 
       1.094726781128e+00       5.474426337457e+01 
       1.352040448633e+00       3.340419290056e+01 
       1.700055961727e+00       1.936025554152e+01 
       2.140209568817e+00       1.108852721505e+01 
       2.694364104880e+00       6.299017348283e+00 
       3.392003440213e+00       3.551933906459e+00 
       4.270279327777e+00       1.989465156569e+00 
       5.375963161198e+00       1.107510963520e+00 
